,0,text,polarity,subjectivity,sentiment,neg,neu,pos,compound,text_len,text_word_count,punct,tokenized,nonstop,stemmed
0,"Check out this cool Spatter Skater Dress 

#skater #skate #photooftheday
#photography
#fashion #fitness #gym… https://t.co/d2hgP6CTaA",check out this cool spatter skater dress    skater  skate  photooftheday  photography  fashion  fitness  gym   ,0.35,0.65,positive,0.0,0.717,0.283,0.5754,111,14,check out this cool spatter skater dress    skater  skate  photooftheday  photography  fashion  fitness  gym   ,"['check', 'out', 'this', 'cool', 'spatter', 'skater', 'dress', 'skater', 'skate', 'photooftheday', 'photography', 'fashion', 'fitness', 'gym', '']","['check', 'cool', 'spatter', 'skater', 'dress', 'skater', 'skate', 'photooftheday', 'photography', 'fashion', 'fitness', 'gym', '']","['check', 'cool', 'spatter', 'skater', 'dress', 'skater', 'skate', 'photooftheday', 'photographi', 'fashion', 'fit', 'gym', '']"
1,"RT @3broztech: TRAINING VIDEO LINK
https://t.co/TRWM8uLqVN
Join the Slack
https://t.co/19eHcierkw
#newproject #workfromhome #freelancing #f…", training video link   join the slack    newproject  workfromhome  freelancing  f ,0.0,0.0,positive,0.0,0.66,0.34,0.3818,82,10, training video link   join the slack    newproject  workfromhome  freelancing  f ,"['', 'training', 'video', 'link', 'join', 'the', 'slack', 'newproject', 'workfromhome', 'freelancing', 'f', '']","['', 'training', 'video', 'link', 'join', 'slack', 'newproject', 'workfromhome', 'freelancing', 'f', '']","['', 'train', 'video', 'link', 'join', 'slack', 'newproject', 'workfromhom', 'freelanc', 'f', '']"
2,"Brand Ambassador – Work at Home https://t.co/gVpV8nQeof 
Driven by our Passion for People, our Customer Service Rep… https://t.co/5IQwoMCrZ3",brand ambassador   work at home    driven by our passion for people  our customer service rep   ,0.0,0.0,positive,0.0,0.824,0.176,0.4588,96,15,brand ambassador   work at home    driven by our passion for people  our customer service rep   ,"['brand', 'ambassador', 'work', 'at', 'home', 'driven', 'by', 'our', 'passion', 'for', 'people', 'our', 'customer', 'service', 'rep', '']","['brand', 'ambassador', 'work', 'home', 'driven', 'passion', 'people', 'customer', 'service', 'rep', '']","['brand', 'ambassador', 'work', 'home', 'driven', 'passion', 'peopl', 'custom', 'servic', 'rep', '']"
3,"I just listed “Engraved memories” for sale on @withFND! 🌐

https://t.co/pymp1OO11D 
#nft #nftartist #nftart… https://t.co/Wk6YMcvgkd",i just listed  engraved memories  for sale on           nft  nftartist  nftart   ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,81,11,i just listed  engraved memories  for sale on           nft  nftartist  nftart   ,"['i', 'just', 'listed', 'engraved', 'memories', 'for', 'sale', 'on', 'nft', 'nftartist', 'nftart', '']","['listed', 'engraved', 'memories', 'sale', 'nft', 'nftartist', 'nftart', '']","['list', 'engrav', 'memori', 'sale', 'nft', 'nftartist', 'nftart', '']"
4,@rwpexpress14 Eid Mubarak to you and your family. Today we are celebrating Eid....sorta and #WorkFromHome,  eid mubarak to you and your family  today we are celebrating eid    sorta and  workfromhome,0.0,0.0,positive,0.0,0.791,0.209,0.5719,93,15,  eid mubarak to you and your family  today we are celebrating eid    sorta and  workfromhome,"['', 'eid', 'mubarak', 'to', 'you', 'and', 'your', 'family', 'today', 'we', 'are', 'celebrating', 'eid', 'sorta', 'and', 'workfromhome']","['', 'eid', 'mubarak', 'family', 'today', 'celebrating', 'eid', 'sorta', 'workfromhome']","['', 'eid', 'mubarak', 'famili', 'today', 'celebr', 'eid', 'sorta', 'workfromhom']"
5,3 steps to creating an inclusive remote workplace https://t.co/P75UB1YoUC @CIOonline @meganfabulous #leadership #COVID19 #workfromhome,3 steps to creating an inclusive remote workplace        leadership  covid19  workfromhome,-0.1,0.2,positive,0.0,0.804,0.196,0.296,90,11, steps to creating an inclusive remote workplace        leadership  covid  workfromhome,"['', 'steps', 'to', 'creating', 'an', 'inclusive', 'remote', 'workplace', 'leadership', 'covid', 'workfromhome']","['', 'steps', 'creating', 'inclusive', 'remote', 'workplace', 'leadership', 'covid', 'workfromhome']","['', 'step', 'creat', 'inclus', 'remot', 'workplac', 'leadership', 'covid', 'workfromhom']"
6,"TRAINING VIDEO LINK
https://t.co/TRWM8uLqVN
Join the Slack
https://t.co/19eHcierkw
#newproject #workfromhome… https://t.co/7ssGTaZ5iT",training video link   join the slack    newproject  workfromhome   ,0.0,0.0,positive,0.0,0.761,0.239,0.296,67,8,training video link   join the slack    newproject  workfromhome   ,"['training', 'video', 'link', 'join', 'the', 'slack', 'newproject', 'workfromhome', '']","['training', 'video', 'link', 'join', 'slack', 'newproject', 'workfromhome', '']","['train', 'video', 'link', 'join', 'slack', 'newproject', 'workfromhom', '']"
7,RT @SamZemSame: #WorkFromHome จนเริ่มเข้าใจหมาแล้วเนอะ ว่าทำไมดีใจเวลาได้ออกไปเดินเล่น 555 ออกไปรับข้าวที่มาส่งก็ดีใจแล้วอะ,  workfromhome                                                          555                                 ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,108,2,  workfromhome                                                                                           ,"['', 'workfromhome', '']","['', 'workfromhome', '']","['', 'workfromhom', '']"
8,"#IT departments and #service desks are now center stage in our #workfromhome world. When done well, they make the t… https://t.co/JJMeadjlUj", it departments and  service desks are now center stage in our  workfromhome world  when done well  they make the t   ,-0.1,0.1,positive,0.0,0.896,0.104,0.2732,118,20, it departments and  service desks are now center stage in our  workfromhome world  when done well  they make the t   ,"['', 'it', 'departments', 'and', 'service', 'desks', 'are', 'now', 'center', 'stage', 'in', 'our', 'workfromhome', 'world', 'when', 'done', 'well', 'they', 'make', 'the', 't', '']","['', 'departments', 'service', 'desks', 'center', 'stage', 'workfromhome', 'world', 'done', 'well', 'make', '']","['', 'depart', 'servic', 'desk', 'center', 'stage', 'workfromhom', 'world', 'done', 'well', 'make', '']"
9,Working from home today as Gale Gordon as Walter Seznick from The ‘Burbs. #galegordon #walterseznick #theburbs… https://t.co/Or4NJiq9Tj,working from home today as gale gordon as walter seznick from the  burbs   galegordon  walterseznick  theburbs   ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,113,16,working from home today as gale gordon as walter seznick from the  burbs   galegordon  walterseznick  theburbs   ,"['working', 'from', 'home', 'today', 'as', 'gale', 'gordon', 'as', 'walter', 'seznick', 'from', 'the', 'burbs', 'galegordon', 'walterseznick', 'theburbs', '']","['working', 'home', 'today', 'gale', 'gordon', 'walter', 'seznick', 'burbs', 'galegordon', 'walterseznick', 'theburbs', '']","['work', 'home', 'today', 'gale', 'gordon', 'walter', 'seznick', 'burb', 'galegordon', 'walterseznick', 'theburb', '']"
